No.,Time,Source,Destination,Protocol,Length,Info
1,9:25:20,10.18.226.153,54.241.197.58,TLSv1.2,1078,Application Data
2,9:25:20,54.241.197.58,10.18.226.153,TLSv1.2,99,Application Data
3,9:25:20,54.241.197.58,10.18.226.153,TLSv1.2,99,Application Data
4,9:25:20,10.18.226.153,54.241.197.58,TCP,54,1056  >  443 [ACK] Seq=1025 Ack=91 Win=509 Len=0
5,9:25:21,52.96.88.114,10.18.226.153,TLSv1.2,98,Application Data
6,9:25:21,10.18.226.153,52.96.88.114,TCP,54,1085  >  443 [ACK] Seq=1 Ack=45 Win=511 Len=0
7,9:25:21,52.111.229.3,10.18.226.153,TLSv1.2,105,Application Data
8,9:25:21,10.18.226.153,52.111.229.3,TCP,54,1174  >  443 [ACK] Seq=1 Ack=52 Win=510 Len=0
9,9:25:22,10.18.226.153,54.241.197.58,TLSv1.2,519,Application Data
10,9:25:22,54.241.197.58,10.18.226.153,TLSv1.2,99,Application Data
11,9:25:22,54.241.197.58,10.18.226.153,TLSv1.2,99,Application Data
12,9:25:22,10.18.226.153,54.241.197.58,TCP,54,1056  >  443 [ACK] Seq=1490 Ack=181 Win=508 Len=0
13,9:25:22,10.18.226.153,128.122.230.132,TCP,66,1740  >  8002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
14,9:25:23,10.18.226.153,142.250.65.163,UDP,174,59894  >  443 Len=132
15,9:25:23,142.250.65.163,10.18.226.153,UDP,73,443  >  59894 Len=31
16,9:25:23,10.18.226.153,142.250.65.163,UDP,75,59894  >  443 Len=33
17,9:25:23,142.250.65.163,10.18.226.153,UDP,170,443  >  59894 Len=128
18,9:25:23,142.250.65.163,10.18.226.153,UDP,65,443  >  59894 Len=23
19,9:25:23,10.18.226.153,142.250.65.163,UDP,81,59894  >  443 Len=39
20,9:25:23,10.18.226.153,142.250.65.163,UDP,75,59894  >  443 Len=33
21,9:25:23,142.250.65.163,10.18.226.153,UDP,67,443  >  59894 Len=25
22,9:25:24,10.18.226.153,128.122.0.11,TCP,66,1741  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
23,9:25:24,10.18.226.153,128.122.0.11,TCP,66,1742  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
24,9:25:24,128.122.0.11,10.18.226.153,TCP,66,"53  >  1741 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
25,9:25:24,10.18.226.153,128.122.0.11,TCP,54,1741  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
26,9:25:24,128.122.0.11,10.18.226.153,TCP,66,"53  >  1742 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
27,9:25:24,10.18.226.153,128.122.0.11,TCP,54,1742  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
28,9:25:24,10.18.226.153,128.122.0.11,TCP,56,"1741  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=2 [TCP segment of a reassembled PDU]"
29,9:25:24,10.18.226.153,128.122.0.11,DNS,84,Standard query 0x2296 A www.bing.com
